ID;recStartedAt;recEndedAt;plant;plantStatus;date;shift;yield;defectiveProd;energyCons
1;2020-01-01 01:00:00;2020-01-01 08:00:00;1010;Normal;2020-01-01;0;1124.8363700591415;10.792174856267572;199.66590197980784
2;2020-01-01 08:00:00;2020-01-01 16:00:00;1010;Normal;2020-01-01;1;1282.339196622914;12.33128066986528;227.7470632418184
3;2020-01-01 16:00:00;2020-01-02 00:00:00;1010;Normal;2020-01-01;2;1286.6199916193475;12.30962439608637;228.08892631435646
4;2020-01-02 00:00:00;2020-01-02 08:00:00;1010;Normal;2020-01-02;0;1274.889378320428;12.212084939534325;227.5269615189525
5;2020-01-02 08:00:00;2020-01-02 16:00:00;1010;Normal;2020-01-02;1;1277.0182755132969;12.261959550181109;228.29866824038425
6;2020-01-02 16:00:00;2020-01-03 00:00:00;1010;Normal;2020-01-02;2;1278.2030097186278;12.281320892528338;228.45810839628882
7;2020-01-03 00:00:00;2020-01-03 08:00:00;1010;Normal;2020-01-03;0;1281.412091258131;12.397210561493509;228.04932706760172
8;2020-01-03 08:00:00;2020-01-03 16:00:00;1010;Normal;2020-01-03;1;1283.4179260183632;12.33209609903159;227.78139296330784
9;2020-01-03 16:00:00;2020-01-04 00:00:00;1010;Normal;2020-01-03;2;1283.6347834007559;12.273193717137898;228.0166532096776
10;2020-01-04 00:00:00;2020-01-04 08:00:00;1010;Normal;2020-01-04;0;1274.4871516505675;12.251281213389788;228.81143524796036
11;2020-01-04 08:00:00;2020-01-04 16:00:00;1010;Normal;2020-01-04;1;1277.6480844418431;12.256705181501768;228.07514722821304
12;2020-01-04 16:00:00;2020-01-05 00:00:00;1010;Normal;2020-01-04;2;1280.464599409174;12.298420225329048;227.8966231236211
13;2020-01-05 00:00:00;2020-01-05 08:00:00;1010;Normal;2020-01-05;0;1290.6284239513718;12.421204497383753;228.75988737159773
14;2020-01-05 08:00:00;2020-01-05 16:00:00;1010;Normal;2020-01-05;1;1278.5291419012256;12.283186593225503;228.6195252840808
15;2020-01-05 16:00:00;2020-01-06 00:00:00;1010;Normal;2020-01-05;2;1274.7708429215547;12.241764836034172;227.5771415899244
16;2020-01-06 00:00:00;2020-01-06 08:00:00;1010;Normal;2020-01-06;0;1276.055637148553;12.262296760269152;227.58913902591564
17;2020-01-06 08:00:00;2020-01-06 16:00:00;1010;Normal;2020-01-06;1;1284.0464221260643;12.272360216534997;228.76770142236057
18;2020-01-06 16:00:00;2020-01-07 00:00:00;1010;Normal;2020-01-06;2;1272.8411089213705;12.23478512115397;228.1291808186521
19;2020-01-07 00:00:00;2020-01-07 08:00:00;1010;Normal;2020-01-07;0;1288.625166716502;12.389330251415323;228.3113340298026
20;2020-01-07 08:00:00;2020-01-07 16:00:00;1010;Normal;2020-01-07;1;1273.3309129672798;12.24561353771524;227.05385409391752
21;2020-01-07 16:00:00;2020-01-08 00:00:00;1010;Normal;2020-01-07;2;1286.3175148463379;12.331875605582862;228.05809524913548
22;2020-01-08 00:00:00;2020-01-08 08:00:00;1010;Normal;2020-01-08;0;1275.027341515731;12.241876982980774;228.1051335381889
23;2020-01-08 08:00:00;2020-01-08 16:00:00;1010;Normal;2020-01-08;1;1276.2537513154239;12.233512938305424;228.2969584674201
24;2020-01-08 16:00:00;2020-01-09 00:00:00;1010;Normal;2020-01-08;2;1281.9921874123806;12.323947220576006;228.4305442874924
25;2020-01-09 00:00:00;2020-01-09 08:00:00;1010;Normal;2020-01-09;0;1291.681927458875;12.37317415569858;227.93226224328075
26;2020-01-09 08:00:00;2020-01-09 16:00:00;1010;Normal;2020-01-09;1;1273.7435912154933;12.27098731356276;228.20916344787526
27;2020-01-09 16:00:00;2020-01-10 00:00:00;1010;Normal;2020-01-09;2;1279.727617730564;12.297048329975588;227.61641230019248
28;2020-01-10 00:00:00;2020-01-10 08:00:00;1010;Normal;2020-01-10;0;1271.632649563663;12.259342745244275;227.94802674906185
29;2020-01-10 08:00:00;2020-01-10 16:00:00;1010;Normal;2020-01-10;1;1287.2751177619289;12.380971390283008;227.65146767536936
30;2020-01-10 16:00:00;2020-01-11 00:00:00;1010;Normal;2020-01-10;2;1281.5477766628283;12.338092363017454;227.54909373845533
31;2020-01-11 00:00:00;2020-01-11 08:00:00;1010;Normal;2020-01-11;0;1276.415445480416;12.209880056096523;228.1570434302758
32;2020-01-11 08:00:00;2020-01-11 16:00:00;1010;Normal;2020-01-11;1;1276.9102354441509;12.23770564098736;228.2274451498683
33;2020-01-11 16:00:00;2020-01-12 00:00:00;1010;Normal;2020-01-11;2;1285.6997274111882;12.298745849287796;227.52161951621707
34;2020-01-12 00:00:00;2020-01-12 08:00:00;1010;Normal;2020-01-12;0;1280.9043260537915;12.281902284963502;227.47197862877155
35;2020-01-12 08:00:00;2020-01-12 16:00:00;1010;Normal;2020-01-12;1;1275.5983474325953;12.319302061555163;239.84126744617626
36;2020-01-12 16:00:00;2020-01-13 00:00:00;1010;Normal;2020-01-12;2;1288.6622039508454;12.549120865247549;239.93331303023936
37;2020-01-13 00:00:00;2020-01-13 08:00:00;1010;Normal;2020-01-13;0;1282.0116157952577;12.449959386628006;242.99866691371233
38;2020-01-13 08:00:00;2020-01-13 16:00:00;1010;Normal;2020-01-13;1;1278.1025967492806;12.50991255128107;251.9197432935434
39;2020-01-13 16:00:00;2020-01-14 00:00:00;1010;Normal;2020-01-13;2;1279.0398290708763;12.616955790105226;258.4168914967619
40;2020-01-14 00:00:00;2020-01-14 08:00:00;1010;Normal;2020-01-14;0;1277.5929437306236;12.712097364987004;263.83737876027476
41;2020-01-14 08:00:00;2020-01-14 16:00:00;1010;Normal;2020-01-14;1;1273.2644876905497;12.604123992603435;264.80091611899485
42;2020-01-14 16:00:00;2020-01-15 00:00:00;1010;Normal;2020-01-14;2;1274.6317287047632;12.600725257340997;264.11775149377377
43;2020-01-15 00:00:00;2020-01-15 08:00:00;1010;Normal;2020-01-15;0;1273.1125966800785;12.60458758846708;263.87666272699136
44;2020-01-15 08:00:00;2020-01-15 16:00:00;1010;Normal;2020-01-15;1;1283.7972988388076;12.69087007958844;265.5306413387399
45;2020-01-15 16:00:00;2020-01-16 00:00:00;1010;Normal;2020-01-15;2;1282.3660421413224;12.698094621006954;264.1541421580391
46;2020-01-16 00:00:00;2020-01-16 08:00:00;1010;Normal;2020-01-16;0;1285.5203163109402;12.6971338679209;263.9712794826953
47;2020-01-16 08:00:00;2020-01-16 16:00:00;1010;Normal;2020-01-16;1;1286.1318157258315;12.787507733134543;264.18299782686154
48;2020-01-16 16:00:00;2020-01-17 00:00:00;1010;Normal;2020-01-16;2;1279.5943381318364;12.66464505941022;263.7881871695132
49;2020-01-17 00:00:00;2020-01-17 08:00:00;1010;Normal;2020-01-17;0;1281.7746751490813;12.768971343340743;270.482689181101
50;2020-01-17 08:00:00;2020-01-17 16:00:00;1010;Normal;2020-01-17;1;1278.0989350555742;12.80701138229967;276.1943236153576
51;2020-01-17 16:00:00;2020-01-18 00:00:00;1010;Normal;2020-01-17;2;1280.5210322741086;12.810984057666714;276.81642056539386
52;2020-01-18 00:00:00;2020-01-18 08:00:00;1010;Normal;2020-01-18;0;1281.6194726344781;12.77401232544151;275.9235423997369
53;2020-01-18 08:00:00;2020-01-18 16:00:00;1010;Normal;2020-01-18;1;1284.6225608666248;12.874726025753109;276.0855863166996
54;2020-01-18 16:00:00;2020-01-19 00:00:00;1010;Normal;2020-01-18;2;1283.2425576705273;12.815423196009778;275.91066536469964
55;2020-01-19 00:00:00;2020-01-19 08:00:00;1010;Normal;2020-01-19;0;1285.2960558046557;12.864744141795848;277.1317384903047
56;2020-01-19 08:00:00;2020-01-19 16:00:00;1010;Normal;2020-01-19;1;1284.2501350473065;12.794740473042282;275.33988362749847
57;2020-01-19 16:00:00;2020-01-20 00:00:00;1010;Normal;2020-01-19;2;1280.7313937769086;12.82290301348314;275.9969892249799
58;2020-01-20 00:00:00;2020-01-20 08:00:00;1010;Normal;2020-01-20;0;1280.7889444792288;12.83996560116891;276.18246646469754
59;2020-01-20 08:00:00;2020-01-20 16:00:00;1010;Normal;2020-01-20;1;1275.5890342384405;12.832835152812777;275.66724563683715
60;2020-01-20 16:00:00;2020-01-21 00:00:00;1010;Normal;2020-01-20;2;1281.0783433138827;12.820379715648386;276.7138367840312
61;2020-01-21 00:00:00;2020-01-21 08:00:00;1010;Normal;2020-01-21;0;1283.056845783944;12.787695737615199;276.35914338201695
62;2020-01-21 08:00:00;2020-01-21 16:00:00;1010;Normal;2020-01-21;1;1284.109616219293;12.810827735879593;276.2002155089443
63;2020-01-21 16:00:00;2020-01-22 00:00:00;1010;Break Down;2020-01-21;2;957.3088590038525;9.614266216665524;207.03939065498304
64;2020-01-22 00:00:00;2020-01-22 08:00:00;1010;Break Down;2020-01-22;0;0.0;0.0;0.0
65;2020-01-22 08:00:00;2020-01-22 16:00:00;1010;Break Down;2020-01-22;1;0.0;0.0;0.0
66;2020-01-22 16:00:00;2020-01-23 00:00:00;1010;Break Down;2020-01-22;2;481.980118232309;4.7781994194956425;99.40583736908206
67;2020-01-23 00:00:00;2020-01-23 08:00:00;1010;Normal;2020-01-23;0;1278.7166818354851;12.674973510694228;263.3677526758625
68;2020-01-23 08:00:00;2020-01-23 16:00:00;1010;Normal;2020-01-23;1;1283.2188521441276;12.72564875213879;263.6999824964763
69;2020-01-23 16:00:00;2020-01-24 00:00:00;1010;Normal;2020-01-23;2;1284.4393115995308;14.338559331961092;268.3149711815004
70;2020-01-24 00:00:00;2020-01-24 08:00:00;1010;Normal;2020-01-24;0;1279.6285671312205;15.249844836547846;272.0863419970968
71;2020-01-24 08:00:00;2020-01-24 16:00:00;1010;Normal;2020-01-24;1;1270.815076335881;15.111413706701445;272.3900822689468
72;2020-01-24 16:00:00;2020-01-25 00:00:00;1010;Normal;2020-01-24;2;1285.4783522452208;15.345830189584232;271.82882182631556
73;2020-01-25 00:00:00;2020-01-25 08:00:00;1010;Normal;2020-01-25;0;1279.2249314452827;15.315376683025491;280.53751175583426
74;2020-01-25 08:00:00;2020-01-25 16:00:00;1010;Normal;2020-01-25;1;1274.2379951023222;15.337921009752238;285.0062874533055
75;2020-01-25 16:00:00;2020-01-26 00:00:00;1010;Normal;2020-01-25;2;1282.3097952292874;15.328186398999685;283.5854063227492
