ID;recStartedAt;recEndedAt;equipment_NR;toEquipmentStatus_code;plantCond_ID
0;2020-01-01 01:00:00;2020-01-01 08:00:00;220300010;OK;1
1;2020-01-01 01:00:00;2020-01-01 08:00:00;220300020;OK;1
2;2020-01-01 01:00:00;2020-01-01 08:00:00;220300031;OK;1
3;2020-01-01 01:00:00;2020-01-01 08:00:00;220300032;OK;1
4;2020-01-01 01:00:00;2020-01-01 08:00:00;220300033;OK;1
5;2020-01-01 01:00:00;2020-01-01 08:00:00;220300034;OK;1
6;2020-01-01 01:00:00;2020-01-01 08:00:00;220300035;OK;1
7;2020-01-01 01:00:00;2020-01-01 08:00:00;220300036;OK;1
8;2020-01-01 08:00:00;2020-01-01 16:00:00;220300010;OK;2
9;2020-01-01 08:00:00;2020-01-01 16:00:00;220300020;OK;2
10;2020-01-01 08:00:00;2020-01-01 16:00:00;220300031;OK;2
11;2020-01-01 08:00:00;2020-01-01 16:00:00;220300032;OK;2
12;2020-01-01 08:00:00;2020-01-01 16:00:00;220300033;OK;2
13;2020-01-01 08:00:00;2020-01-01 16:00:00;220300034;OK;2
14;2020-01-01 08:00:00;2020-01-01 16:00:00;220300035;OK;2
15;2020-01-01 08:00:00;2020-01-01 16:00:00;220300036;OK;2
16;2020-01-01 16:00:00;2020-01-02 00:00:00;220300010;OK;3
17;2020-01-01 16:00:00;2020-01-02 00:00:00;220300020;OK;3
18;2020-01-01 16:00:00;2020-01-02 00:00:00;220300031;OK;3
19;2020-01-01 16:00:00;2020-01-02 00:00:00;220300032;OK;3
20;2020-01-01 16:00:00;2020-01-02 00:00:00;220300033;OK;3
21;2020-01-01 16:00:00;2020-01-02 00:00:00;220300034;OK;3
22;2020-01-01 16:00:00;2020-01-02 00:00:00;220300035;OK;3
23;2020-01-01 16:00:00;2020-01-02 00:00:00;220300036;OK;3
24;2020-01-02 00:00:00;2020-01-02 08:00:00;220300010;OK;4
25;2020-01-02 00:00:00;2020-01-02 08:00:00;220300020;OK;4
26;2020-01-02 00:00:00;2020-01-02 08:00:00;220300031;OK;4
27;2020-01-02 00:00:00;2020-01-02 08:00:00;220300032;OK;4
28;2020-01-02 00:00:00;2020-01-02 08:00:00;220300033;OK;4
29;2020-01-02 00:00:00;2020-01-02 08:00:00;220300034;OK;4
30;2020-01-02 00:00:00;2020-01-02 08:00:00;220300035;OK;4
31;2020-01-02 00:00:00;2020-01-02 08:00:00;220300036;OK;4
32;2020-01-02 08:00:00;2020-01-02 16:00:00;220300010;OK;5
33;2020-01-02 08:00:00;2020-01-02 16:00:00;220300020;OK;5
34;2020-01-02 08:00:00;2020-01-02 16:00:00;220300031;OK;5
35;2020-01-02 08:00:00;2020-01-02 16:00:00;220300032;OK;5
36;2020-01-02 08:00:00;2020-01-02 16:00:00;220300033;OK;5
37;2020-01-02 08:00:00;2020-01-02 16:00:00;220300034;OK;5
38;2020-01-02 08:00:00;2020-01-02 16:00:00;220300035;OK;5
39;2020-01-02 08:00:00;2020-01-02 16:00:00;220300036;OK;5
40;2020-01-02 16:00:00;2020-01-03 00:00:00;220300010;OK;6
41;2020-01-02 16:00:00;2020-01-03 00:00:00;220300020;OK;6
42;2020-01-02 16:00:00;2020-01-03 00:00:00;220300031;OK;6
43;2020-01-02 16:00:00;2020-01-03 00:00:00;220300032;OK;6
44;2020-01-02 16:00:00;2020-01-03 00:00:00;220300033;OK;6
