ID,detectedAt,detectedDate,equipment,anomalyType_code,rawValue,confidence,status,eqCond_ID
1,2021-01-13 06:00:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0910.wav,0.7124747606344202,12,9076
2,2021-01-13 06:10:00,2021-01-13,220300033,A1,/media/LGPsound/anomaly1/clip0750.wav,0.9527556140373726,12,9076
3,2021-01-13 06:20:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0605.wav,0.8928347693110767,12,9076
4,2021-01-13 06:30:00,2021-01-13,220300033,A1,/media/LGPsound/anomaly1/clip0956.wav,0.8760912644695673,12,9076
5,2021-01-13 06:40:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0249.wav,0.702921732444856,12,9076
6,2021-01-13 06:50:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0356.wav,0.8202087952182504,12,9076
7,2021-01-13 07:00:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0801.wav,0.7283516890287054,12,9076
8,2021-01-13 07:10:00,2021-01-13,220300033,A1,/media/LGPsound/anomaly1/clip0548.wav,0.7626230336044455,12,9076
9,2021-01-13 07:20:00,2021-01-13,220300033,A1,/media/LGPsound/anomaly1/clip0966.wav,0.7225466743277763,12,9076
10,2021-01-13 07:30:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0630.wav,0.733404984311018,12,9076
11,2021-01-13 07:40:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0464.wav,0.8361568701225824,12,9076
12,2021-01-13 07:50:00,2021-01-13,220300033,A1,/media/LGPsound/anomaly1/clip0135.wav,0.9428699095604751,12,9076
13,2021-01-13 08:00:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0562.wav,0.7533096263508747,12,9092
14,2021-01-13 08:10:00,2021-01-13,220300033,A1,/media/LGPsound/anomaly1/clip0754.wav,0.8773081779376783,12,9092
15,2021-01-13 08:20:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0549.wav,0.9373381460444515,12,9092
16,2021-01-13 08:30:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0841.wav,0.8903180438582013,12,9092
17,2021-01-13 08:40:00,2021-01-13,220300033,A2,/media/LGPsound/anomaly2/clip0461.wav,0.7583810905907212,12,9092
