ID,detectedAt,detectedDate,plant,plantSection,productId,productName,qualityLabel,confidence,image
1,2021-01-01 00:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9402001008828526,/media/cv/00313_NG_Image.bmp
2,2021-01-01 01:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9716997032049198,/media/cv/00061_NG_Image.bmp
3,2021-01-01 02:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8031703207385276,/media/cv/00133_NG_Image.bmp
4,2021-01-01 03:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8710281510275782,/media/cv/00080_NG_Image.bmp
5,2021-01-01 04:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8502149657571145,/media/cv/00243_NG_Image.bmp
6,2021-01-01 05:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9344380414186689,/media/cv/00137_NG_Image.bmp
7,2021-01-01 06:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8852658297476025,/media/cv/00061_NG_Image.bmp
8,2021-01-01 07:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8364001545653282,/media/cv/00027_NG_Image.bmp
9,2021-01-01 08:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8790561881945268,/media/cv/00155_NG_Image.bmp
10,2021-01-01 09:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9669770582613706,/media/cv/00026_NG_Image.bmp
11,2021-01-01 10:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9340002704489327,/media/cv/00035_NG_Image.bmp
12,2021-01-01 11:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8042929912228077,/media/cv/00094_NG_Image.bmp
13,2021-01-01 12:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9702714722496661,/media/cv/00289_NG_Image.bmp
14,2021-01-01 13:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9681857002915806,/media/cv/00387_NG_Image.bmp
15,2021-01-01 14:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8559675071436978,/media/cv/00354_NG_Image.bmp
16,2021-01-01 15:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8691678197741739,/media/cv/00338_NG_Image.bmp
17,2021-01-01 16:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9059295786517186,/media/cv/00100_NG_Image.bmp
18,2021-01-01 17:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9659452952069902,/media/cv/00219_NG_Image.bmp
19,2021-01-01 18:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9669996142026012,/media/cv/00323_NG_Image.bmp
20,2021-01-01 19:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8437069605795959,/media/cv/00042_NG_Image.bmp
21,2021-01-01 20:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8262805750868712,/media/cv/00348_NG_Image.bmp
22,2021-01-01 21:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.9309307304346268,/media/cv/00167_NG_Image.bmp
23,2021-01-01 22:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8727624360082026,/media/cv/00195_NG_Image.bmp
24,2021-01-01 23:00:00,2021-01-01,1010,YOH,SG23,LGP,N,0.8654652145093408,/media/cv/00349_NG_Image.bmp
25,2021-01-02 00:00:00,2021-01-02,1010,YOH,SG23,LGP,N,0.9112026339804884,/media/cv/00035_NG_Image.bmp
